a,b,pearson,spearman,agreement,near_clone
pine.squeeze,technical.obv,0.38819117511104334,0.3881911751110439,0.7057644110275689,False
pine.vix_fix,technical.rsi,-0.38618277464964146,-0.38618277464964124,0.2932330827067669,False
technical.macd,technical.rsi,0.38457079835258345,0.3845707983525826,0.6942355889724311,False
neural.lstm,technical.donchian,-0.38349026013973697,-0.3835540812330069,0.3283208020050125,False
pine.leledc,pine.supertrend,-0.38331331177225053,-0.3833133117722505,0.3037593984962406,False
pine.hl_ott,technical.macd,0.38150734803071873,0.381507348030719,0.6927318295739349,False
pine.squeeze,technical.structure,0.3778684407071563,0.37878203120573123,0.650125313283208,False
neural.lstm,pine.hl_ott,-0.3777115894188279,-0.37771158941882793,0.33032581453634086,False
technical.structure,technical.trend_slope,0.37761886276852447,0.3793235976191016,0.649624060150376,False
neural.lstm,technical.roc,-0.3706895974644815,-0.3706415882803394,0.3383458646616541,False
pine.squeeze,technical.rsi,0.36066965947190777,0.3606696594719074,0.6902255639097744,False
pine.leledc,pine.squeeze,-0.3571126919995378,-0.35711269199953755,0.31027568922305765,False
technical.bollinger,technical.obv,-0.3538292981389883,-0.3538292981389884,0.312280701754386,False
neural.lstm,technical.adx,-0.35080225890661304,-0.3473345435642439,0.1899749373433584,False
neural.lstm,pine.supertrend,-0.3484905806087953,-0.34849058060879506,0.33734335839599,False
rule.moving_average_crossover,rule.turtle,-0.34444182444294213,-0.3444418244429421,0.3192982456140351,False
pine.hl_ott,pine.squeeze,0.3414213455674474,0.3414213455674474,0.6807017543859649,False
pine.leledc,technical.rsi,-0.33759199855646355,-0.3375919985564635,0.3213032581453634,False
neural.vanilla_rnn,technical.trend_slope,-0.3373226207287488,-0.33732262072874925,0.3182957393483709,False
pine.vix_fix,technical.roc,-0.3335809283602529,-0.33320318959403294,0.306265664160401,False
neural.lstm,rule.turtle,0.3332626128735703,0.3332626128735707,0.6461152882205514,False
pine.hl_ott,technical.trend_slope,0.3305511883577203,0.3305511883577206,0.675187969924812,False
pine.mavilim,technical.rsi,0.3301747005907121,0.330174700590712,0.6731829573934837,False
pine.wavetrend,technical.obv,-0.3231547525767494,-0.3231547525767495,0.318796992481203,False
pine.leledc,technical.structure,-0.32311492904162453,-0.32334938448019884,0.2887218045112782,False
neural.vanilla_rnn,pine.wavetrend,0.3230831979029868,0.3230831979029861,0.6827067669172933,False
technical.macd,technical.roc,0.32243193827060956,0.3220900772031591,0.6621553884711779,False
pine.leledc,technical.roc,-0.31535443243515304,-0.3157240237634811,0.3283208020050125,False
neural.vanilla_rnn,pine.leledc,0.3125868988740865,0.312586898874087,0.6696741854636592,False
neural.vanilla_rnn,technical.trend_ma,-0.3096770638573201,-0.30967706385732036,0.33032581453634086,False
rule.moving_average_crossover,technical.trend_ma,0.30836936992989095,0.3083693699298915,0.6641604010025063,False
pine.squeeze,pine.wavetrend,-0.3077753464699529,-0.3077753464699532,0.3273182957393484,False
pine.mavilim,technical.structure,0.3056586724203019,0.30819186677902555,0.6135338345864662,False
pine.mavilim,technical.roc,0.30026230324877573,0.30039834995248915,0.6591478696741855,False
pine.wavetrend,rule.turtle,0.30024946072763425,0.3002494607276345,0.6676691729323309,False
rule.moving_average_crossover,technical.obv,0.29388480089350166,0.2938848008935019,0.6571428571428571,False
pine.supertrend,pine.vix_fix,-0.2906084918470841,-0.29060849184708437,0.349874686716792,False
pine.vix_fix,technical.adx,-0.2894354962298867,-0.282303161989231,0.18696741854636592,False
pine.hl_ott,pine.leledc,-0.28943029352189886,-0.2894302935218992,0.3448621553884712,False
pine.vix_fix,technical.structure,-0.28910871285372675,-0.2851959882776044,0.2862155388471178,False
pine.squeeze,technical.donchian,0.28384955651740973,0.2839476658188285,0.6531328320802005,False
rule.signal_rolling,technical.macd,-0.2832441178672383,-0.2832441178672394,0.3573934837092732,False
neural.vanilla_rnn,pine.mavilim,-0.2821807852927472,-0.2821807852927472,0.34786967418546366,False
neural.lstm,rule.moving_average_crossover,-0.28177568058833835,-0.28177568058833885,0.37543859649122807,False
rule.moving_average_crossover,rule.signal_rolling,-0.2766515069640642,-0.2766515069640638,0.3598997493734336,False
neural.lstm,technical.trend_ma,-0.2755272899963382,-0.27552728999633785,0.3844611528822055,False
neural.lstm,technical.structure,-0.27505815672772715,-0.27431178910642356,0.349874686716792,False
