Candidate,Label,Family,Horizon,Cells,Calls,Coverage,Independent cutoffs,Accuracy,CI low,CI high,Baseline accuracy,Advantage,Adv CI low,Adv CI high,p,BUY-SELL bp,Resolved,Reference,Family size,p Holm,Holm reject,Beats baseline,Verdict
rule.signal_rolling,Signal rolling,rule,1w,1995,1995,1.0,88,0.4967418546365915,0.47482876592227075,0.5186674670958935,0.5117794486215539,-0.013617629899744521,-0.07897076503042412,0.052943495137109255,0.6986301369863014,11.045545106988335,True,False,81,1.0,False,False,REJECT
technical.structure,Market structure,technical,1w,1995,1822,0.9132832080200501,88,0.5071350164654226,0.48418755736412367,0.5300524511886444,0.5142700329308453,-0.015265417339866062,-0.08721999363950764,0.04977704506826537,0.6639336066393361,42.82266441385591,True,False,81,1.0,False,False,REJECT
technical.roc,20-bar return,technical,1w,1995,1990,0.9974937343358395,88,0.49698492462311555,0.4750438498669609,0.5189376178684899,0.5105527638190954,-0.016882178263107107,-0.08852914474770945,0.05008846882284383,0.6326367363263674,-17.447090342091403,True,False,81,1.0,False,False,REJECT
rl.neuro_evolution__novelty_search,Neuro-evolution (novelty search),rl,1w,1938,1931,0.9963880288957688,88,0.48990160538581046,0.4676467973633582,0.5121965138410318,0.5204557224236147,-0.018573144359627605,-0.09551773637546662,0.05862462124199559,0.6515348465153484,-8.463736139942466,True,False,81,1.0,False,False,REJECT
rl.neuro_evolution,Neuro-evolution,rl,1w,1938,1930,0.9958720330237358,88,0.49119170984455957,0.46892750572055636,0.5134909095208988,0.5202072538860104,-0.021240143546293284,-0.08998234781038923,0.04580210715087046,0.5533446655334466,-28.477606547248538,True,False,81,1.0,False,False,REJECT
rule.turtle,Turtle,rule,1w,1995,1995,1.0,88,0.48370927318295737,0.46183238268707044,0.5056487824037501,0.5117794486215539,-0.021826960095240724,-0.09555354352087303,0.047211664159292614,0.5569443055694431,-33.789386824581754,True,False,81,1.0,False,False,REJECT
technical.adx,ADX direction,technical,1w,1995,1258,0.6305764411027569,88,0.514308426073132,0.4866879107912707,0.5418418190892469,0.5206677265500795,-0.022446160621206353,-0.1074418974043301,0.05101996136530106,0.5832416758324167,45.574263029726865,True,False,81,1.0,False,False,REJECT
technical.bollinger,Bollinger reversion,technical,1w,1995,1995,1.0,88,0.4817042606516291,0.4598342597080333,0.5036445872401191,0.5117794486215539,-0.022643624491450572,-0.09373786720525852,0.056255592151590136,0.5611438856114389,-60.72505172885509,True,False,81,1.0,False,False,REJECT
rl.evolution_strategy,Evolution strategy,rl,1w,1938,1860,0.9597523219814241,88,0.482258064516129,0.45960912229917045,0.5049801432263977,0.5193548387096775,-0.027537403798845454,-0.10176060591397598,0.03403536531338434,0.4467553244675532,-50.82374629751483,True,False,81,1.0,False,False,REJECT
neural.vanilla_rnn,Vanilla RNN projection,neural,1w,1995,1995,1.0,88,0.4766917293233083,0.45484049484384365,0.49863255674763823,0.5117794486215539,-0.0296127530243143,-0.10553509204892605,0.04151572412682831,0.45395460453954606,-77.19699307039542,True,False,81,1.0,False,False,REJECT
pine.vix_fix,Williams Vix Fix,pine,1w,1995,1995,1.0,88,0.47468671679197993,0.4528436063948747,0.4966271270539389,0.5117794486215539,-0.030769059662340285,-0.12279011580481439,0.05761719711447966,0.5242475752424758,-75.28987473890777,True,False,81,1.0,False,False,REJECT
rl.policy_gradient,Policy gradient,rl,1w,1938,1926,0.9938080495356038,88,0.4766355140186916,0.4543981082369881,0.49896593987970705,0.5192107995846313,-0.03252928889292525,-0.11143776394060487,0.03461499390760751,0.4066593340665933,-55.51317988803867,True,False,81,1.0,False,False,REJECT
pine.leledc,Leledc exhaustion levels,pine,1w,1995,1995,1.0,88,0.47017543859649125,0.448351898952128,0.49211361867568215,0.5117794486215539,-0.032791996376482536,-0.11571656990901061,0.04069153978843946,0.43155684431556846,-67.48780519321897,True,False,81,1.0,False,False,REJECT
pine.wavetrend,WaveTrend,pine,1w,1995,1995,1.0,88,0.4716791979949875,0.449848935957235,0.4936183202775763,0.5117794486215539,-0.035903445204334535,-0.1238259329397546,0.043694436019349525,0.4136586341365863,-93.94239719226073,True,False,81,1.0,False,False,REJECT
reference.always_buy,Always BUY,reference,5w,1995,1995,1.0,88,0.5704260651629073,0.5485890016292206,0.5919924231320012,0.5704260651629073,0.0,0.0,0.0,1.0,,True,True,81,,False,False,REFERENCE
rule.moving_average_crossover,Moving average crossover,rule,5w,1995,1995,1.0,88,0.537844611528822,0.5159148193179752,0.5596289356248876,0.5704260651629073,-0.0339718861507399,-0.08154139153830359,0.008741266844157132,0.1494850514948505,155.3347999842669,True,False,81,1.0,False,False,REJECT
technical.donchian,Donchian position,technical,5w,1995,1994,0.9994987468671679,88,0.5341023069207623,0.5121623901493783,0.5559110747339239,0.5702106318956871,-0.03570742169556399,-0.08318247599732284,0.004787732771181377,0.11748825117488251,10.18632393306608,True,False,81,1.0,False,False,REJECT
pine.supertrend,Supertrend,pine,5w,1995,1995,1.0,88,0.5353383458646617,0.5134053234843544,0.5571355337801732,0.5704260651629073,-0.03613457030453079,-0.0796556104468654,0.0152996109210289,0.13888611138886112,62.21537678541576,True,False,81,1.0,False,False,REJECT
technical.adx,ADX direction,technical,5w,1995,1258,0.6305764411027569,88,0.5190779014308426,0.491451630027969,0.5465880098127212,0.5572337042925278,-0.03719294736832733,-0.09151892834625734,0.01962392793404877,0.18418158184181582,59.55812020766185,True,False,81,1.0,False,False,REJECT
technical.obv,Volume trend,technical,5w,1995,1995,1.0,88,0.5338345864661654,0.5118998918586612,0.5556392267988652,0.5704260651629073,-0.03841129226504721,-0.08499483351793133,0.009840620759346053,0.1045895410458954,64.90568096207114,True,False,81,1.0,False,False,REJECT
technical.structure,Market structure,technical,5w,1995,1822,0.9132832080200501,88,0.535126234906696,0.5121740983686188,0.5579305591219325,0.570801317233809,-0.04121570738509578,-0.08356365682070745,0.0004053660556336532,0.0565943405659434,-80.49101321780515,True,False,81,1.0,False,False,REJECT
pine.hl_ott,HL Optimized Trend Tracker,pine,5w,1995,1995,1.0,88,0.5288220551378446,0.5068832248244363,0.5506500984764197,0.5704260651629073,-0.04266805658110006,-0.08880610163058285,0.000448893662332395,0.06229377062293771,46.9164592661183,True,False,81,1.0,False,False,REJECT
technical.rsi,RSI 14,technical,5w,1995,1995,1.0,88,0.5243107769423558,0.5023701139680928,0.5461579935117594,0.5704260651629073,-0.04810326613439262,-0.0913743401073564,-0.007384913999044431,0.025797420257974202,-33.209847925569356,True,False,81,1.0,False,False,REJECT
technical.roc,20-bar return,technical,5w,1995,1990,0.9974937343358395,88,0.5221105527638191,0.5001420975075315,0.543993805765828,0.5698492462311557,-0.04846665274777923,-0.08802289021502213,-0.007132474759265766,0.0156984301569843,-79.88086446966462,True,False,81,1.0,False,False,REJECT
technical.trend_slope,EMA 50 slope,technical,5w,1995,1995,1.0,88,0.5208020050125314,0.49886115244702983,0.5426628982831532,0.5704260651629073,-0.04973349196916391,-0.09850400151561217,0.004569578539872507,0.057894210578942104,10.572564394169953,True,False,81,1.0,False,False,REJECT
pine.mavilim,MavilimW,pine,5w,1995,1995,1.0,88,0.5177944862155388,0.49585433092740205,0.5396662425887785,0.5704260651629073,-0.05001540702380624,-0.0997499952493159,0.003393663936524562,0.054894510548945105,-49.65362100179588,True,False,81,1.0,False,False,REJECT
technical.trend_ma,EMA 12/48 spread,technical,5w,1995,1995,1.0,88,0.5182957393483709,0.49635541275988093,0.5401657402919667,0.5704260651629073,-0.0524627891870975,-0.09859630430504936,-0.004369053295189659,0.028197180281971802,-45.42569719689124,True,False,81,1.0,False,False,REJECT
technical.macd,MACD histogram,technical,5w,1995,1995,1.0,88,0.5102756892230577,0.48834074577092107,0.5321711347102537,0.5704260651629073,-0.059732563220705505,-0.11377311686995482,-0.010671940501856521,0.023297670232976703,158.3892454600174,True,False,81,1.0,False,False,REJECT
pine.squeeze,Squeeze Momentum,pine,5w,1995,1995,1.0,88,0.5107769423558898,0.48884149737820315,0.5326709626386388,0.5704260651629073,-0.060784673166096086,-0.09648745268236375,-0.0205824242045833,0.0032996700329967,-54.92007243148064,True,False,81,0.26067,False,False,REJECT
neural.lstm,LSTM projection,neural,5w,1995,1995,1.0,88,0.5047619047619047,0.48283392992483276,0.5266715756640044,0.5704260651629073,-0.060911042185745744,-0.1164629887158296,-0.00827799214125798,0.026797320267973202,-123.953508077842,True,False,81,1.0,False,False,REJECT
neural.gru,GRU projection,neural,5w,1995,1995,1.0,88,0.506265664160401,0.4843355248602646,0.5281717193355737,0.5704260651629073,-0.06106221512347994,-0.11694474830999041,-0.002713671127949807,0.037896210378962104,-50.58225534998524,True,False,81,1.0,False,False,REJECT
rl.policy_gradient,Policy gradient,rl,5w,1938,1926,0.9938080495356038,88,0.4963655244029076,0.47406511079765595,0.5186804077982744,0.5752855659397715,-0.07761359852268943,-0.14322004605243238,-0.018686581411013266,0.016698330166983303,-15.564839966846765,True,False,81,1.0,False,False,REJECT
reference.incumbent,Ultimate consensus,reference,5w,1995,354,0.1774436090225564,88,0.559322033898305,0.5072410839710279,0.6101292832529058,0.635593220338983,-0.08239989177489176,-0.14223518668831167,-0.03181581439393943,0.0032996700329967,-293.3950515407182,True,True,81,,False,False,REFERENCE
rl.neuro_evolution__novelty_search,Neuro-evolution (novelty search),rl,5w,1938,1931,0.9963880288957688,88,0.4831693423096841,0.4609359663776021,0.5054695522963812,0.5753495598135681,-0.08746661731410535,-0.15043002972406377,-0.026422811165110804,0.0059994000599940004,-59.94016252794491,True,False,81,0.44396,False,False,REJECT
rl.neuro_evolution,Neuro-evolution,rl,5w,1938,1930,0.9958720330237358,88,0.4803108808290155,0.458082090717841,0.5026178962924704,0.5751295336787565,-0.09050954059309674,-0.14204643415296822,-0.038551879047868366,0.0011998800119988001,-81.79663927145246,True,False,81,0.09599,False,False,REJECT
rule.turtle,Turtle,rule,5w,1995,1995,1.0,88,0.4731829573934837,0.45134617180448644,0.495122823037326,0.5704260651629073,-0.09292979665262274,-0.1724168691157327,-0.022500105419942424,0.016698330166983303,-0.5040585977904993,True,False,81,1.0,False,False,REJECT
pine.leledc,Leledc exhaustion levels,pine,5w,1995,1995,1.0,88,0.46967418546365913,0.4478529308221384,0.49161200727000465,0.5704260651629073,-0.09615314609632791,-0.17339947174038084,-0.027773713502406684,0.0103989601039896,-36.788178356619156,True,False,81,0.75912,False,False,REJECT
technical.bollinger,Bollinger reversion,technical,5w,1995,1995,1.0,88,0.46967418546365913,0.4478529308221384,0.49161200727000465,0.5704260651629073,-0.097055878903705,-0.17107134671981508,-0.01787620552208003,0.013998600139986002,15.495878239536534,True,False,81,1.0,False,False,REJECT
neural.vanilla_rnn,Vanilla RNN projection,neural,5w,1995,1995,1.0,88,0.47017543859649125,0.448351898952128,0.49211361867568215,0.5704260651629073,-0.10015951851179125,-0.16762497682242,-0.035920382647655395,0.0037996200379962005,-89.12155383967107,True,False,81,0.29257,False,False,REJECT
pine.wavetrend,WaveTrend,pine,5w,1995,1995,1.0,88,0.4666666666666667,0.4448595864791826,0.48860187439895814,0.5704260651629073,-0.10302716469959551,-0.17679082435598,-0.03710799481315786,0.0052994700529947,22.342334890775376,True,False,81,0.39746,False,False,REJECT
rule.signal_rolling,Signal rolling,rule,5w,1995,1995,1.0,88,0.4666666666666667,0.4448595864791826,0.48860187439895814,0.5704260651629073,-0.10337982422715625,-0.1603538019539749,-0.04157890108902957,0.0006999300069993001,-174.33236174330128,True,False,81,0.05669,False,False,REJECT
rl.evolution_strategy,Evolution strategy,rl,5w,1938,1860,0.9597523219814241,88,0.4736559139784946,0.45104190073910744,0.4963785238291605,0.5763440860215053,-0.10364400941268008,-0.17335002371077365,-0.03940504459698477,0.0035996400359964,-139.78695561368312,True,False,81,0.28077,False,False,REJECT
pine.vix_fix,Williams Vix Fix,pine,5w,1995,1995,1.0,88,0.44912280701754387,0.4274143279133425,0.47102684921645116,0.5704260651629073,-0.11663142029248749,-0.19704879405015271,-0.03709833500656134,0.0046995300469953,-125.06924351551999,True,False,81,0.35716,False,False,REJECT
