candidate,horizon,symbol,cutoff_at,matured_at,call,directional_correct,realised_return
ht2.vwap_reversion,1w,EOSE,2024-07-18 00:00:00+00:00,2024-07-25 00:00:00+00:00,0.0,,-0.06451613109971022
ht2.vwap_reversion,5w,EOSE,2024-07-18 00:00:00+00:00,2024-08-22 00:00:00+00:00,0.0,,0.30107529982898584
ht2.vwap_reversion,1d,EOSE,2024-08-22 00:00:00+00:00,2024-08-23 00:00:00+00:00,0.0,,-0.024793462523359122
ht2.vwap_reversion,1w,EOSE,2024-08-22 00:00:00+00:00,2024-08-29 00:00:00+00:00,0.0,,0.1446280552059187
ht2.vwap_reversion,5w,EOSE,2024-08-22 00:00:00+00:00,2024-09-27 00:00:00+00:00,0.0,,0.08264454667762733
ht2.vwap_reversion,1d,EOSE,2024-09-27 00:00:00+00:00,2024-09-30 00:00:00+00:00,0.0,,0.1335878466942988
ht2.vwap_reversion,1w,EOSE,2024-09-27 00:00:00+00:00,2024-10-04 00:00:00+00:00,0.0,,0.19465658441164657
ht2.vwap_reversion,5w,EOSE,2024-09-27 00:00:00+00:00,2024-11-01 00:00:00+00:00,0.0,,0.20229016525138244
ht2.vwap_reversion,1d,EOSE,2024-11-01 00:00:00+00:00,2024-11-04 00:00:00+00:00,0.0,,-0.07301587686036515
ht2.vwap_reversion,1w,EOSE,2024-11-01 00:00:00+00:00,2024-11-08 00:00:00+00:00,0.0,,-0.15238095382263694
ht2.vwap_reversion,5w,EOSE,2024-11-01 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.0,,0.05396820086620857
ht2.vwap_reversion,1d,EOSE,2024-12-09 00:00:00+00:00,2024-12-10 00:00:00+00:00,0.0,,-0.07530120633340298
ht2.vwap_reversion,1w,EOSE,2024-12-09 00:00:00+00:00,2024-12-16 00:00:00+00:00,0.0,,0.2168674828577397
ht2.vwap_reversion,5w,EOSE,2024-12-09 00:00:00+00:00,2025-01-16 00:00:00+00:00,0.0,,0.8554216780948403
ht2.vwap_reversion,1d,EOSE,2025-01-16 00:00:00+00:00,2025-01-17 00:00:00+00:00,0.0,,-0.02272725161582778
ht2.vwap_reversion,1w,EOSE,2025-01-16 00:00:00+00:00,2025-01-24 00:00:00+00:00,0.0,,-0.012987000923330161
