candidate,neural.gru,neural.lstm,neural.vanilla_rnn,pine.hl_ott,pine.leledc,pine.mavilim,pine.squeeze,pine.supertrend,pine.vix_fix,pine.wavetrend,rl.evolution_strategy,rl.neuro_evolution,rl.neuro_evolution__novelty_search,rl.policy_gradient,rule.moving_average_crossover,rule.signal_rolling,rule.turtle,technical.adx,technical.bollinger,technical.donchian,technical.macd,technical.obv,technical.roc,technical.rsi,technical.structure,technical.trend_ma,technical.trend_slope
rl.evolution_strategy,0.033483282489881264,0.045490538915675414,0.009147764774765275,-0.08007101207368078,0.1124157521099787,-0.10302378471471266,-0.05383329219312144,-0.10046442507318004,0.04977567514049546,0.05421526332911884,1.0,0.08264946433067574,0.06448635930506187,-0.008794255761702232,-0.05751589390664963,0.03509800513198507,0.11536355826591532,-0.11601360762792948,0.07646942375285037,-0.0676755252431954,-0.03351064538578083,-0.0848092514022225,-0.09808608349255095,-0.12125470328017009,-0.09093289311117374,-0.11225299137333114,-0.09406571187732349
rl.neuro_evolution,0.004144324492754415,0.03425316086533946,0.05871616433207044,-0.035626584473605706,0.03756902917488781,-0.05794585488142778,-0.0018007360616013814,-0.06784328766340275,0.034969532372349045,0.0162865034721624,0.08264946433067574,1.0,0.08373893443439635,-0.004356783362588604,-0.03216285048674826,-0.03326250364109386,0.0814195063187867,-0.0770622858591569,0.053616565322311426,-0.06985844330406743,-0.04328910155913269,-0.10324398152851545,-0.058676952520432604,-0.0582195614967319,-0.05207472895527944,-0.063489699006532,-0.03578395480037915
rl.neuro_evolution__novelty_search,-0.02529555415738192,0.004036531565863856,0.000506420514009963,-0.03788247264706186,0.023542879315891916,-0.02243433872812952,0.0022976046552967374,-0.007336071018335164,0.00962837051370751,-0.0175207721467558,0.06448635930506187,0.08373893443439635,1.0,-0.03622524196410872,-0.01902395574557222,0.0033250907239933893,0.023426123621045892,-0.020967173167496255,0.02781780365156091,-0.029213492807400526,-0.0330656077184552,-0.053620335200466586,-0.023198297627574454,-0.03166328647149474,-0.002866168543717486,-0.03137475848835954,-0.0201977492726105
rl.policy_gradient,-0.004001501218130795,0.027713689053016195,-0.04036817203147988,0.027418486142787534,0.05116826248103176,-0.1249986630489928,-0.0221575215718941,-0.009476600230894115,-0.08258738939689983,0.04090267198467415,-0.008794255761702232,-0.004356783362588604,-0.03622524196410872,1.0,0.04681937147806772,0.015073145981422434,0.04515023944757136,0.009754752653969552,-0.035498253042977025,0.0024201999147406153,0.09206085367997184,-0.06220666832693599,-0.025283610404868862,-0.017393727112827113,-0.007419075659714784,-0.05237420910937885,-0.07087588280421923
rule.moving_average_crossover,-0.13111417248727045,-0.28177568058833835,-0.09249035426387067,0.5914065913791733,-0.13679668199344472,0.04389781403400297,0.19889102019666263,0.41702509217059885,-0.4959580674034894,-0.016332548788372737,-0.05751589390664963,-0.03216285048674826,-0.01902395574557222,0.04681937147806772,1.0,-0.2766515069640642,-0.34444182444294213,0.4408899532982958,-0.6455403790805889,0.6142758321827014,0.6069096866590125,0.29388480089350166,0.47160481846278585,0.5758398150543386,0.40833513227466134,0.30836936992989095,0.13242082739732008
rule.signal_rolling,0.08721277055603305,0.12893919854620658,0.02522012498138616,-0.1586463993635295,-0.00919512771299344,0.03894208631991651,0.0023856758173517985,-0.09788426660047132,0.19022729730997492,-0.034214683620685776,0.03509800513198507,-0.03326250364109386,0.0033250907239933893,0.015073145981422434,-0.2766515069640642,1.0,0.03082626795619032,-0.12841303018193242,0.25521746691255603,-0.2181005469486186,-0.2832441178672383,-0.055480507236276976,-0.11644222307039477,-0.2267466316292173,-0.10115380640526289,-0.037039385620753304,0.007251414370926174
rule.turtle,0.009361208480682174,0.3332626128735703,0.2226756170789765,-0.6068801506181277,0.5181541845064535,-0.5595991912404803,-0.4999243323248475,-0.6853334191799781,0.15200813399909,0.30024946072763425,0.11536355826591532,0.0814195063187867,0.023426123621045892,0.04515023944757136,-0.34444182444294213,0.03082626795619032,1.0,-0.6213536352095164,0.42132730652525496,-0.4548743411834562,-0.08053649547085377,-0.591569673794335,-0.6498386127682055,-0.595273314333675,-0.5179998412504819,-0.7392483598087828,-0.6257949187002063
technical.adx,-0.06869885966781766,-0.35080225890661304,-0.20462339173769098,0.6221330480914538,-0.3912586165170574,0.3956123234774763,0.4011083756005748,0.6499898100142593,-0.2894354962298867,-0.2533045015742368,-0.11601360762792948,-0.0770622858591569,-0.020967173167496255,0.009754752653969552,0.4408899532982958,-0.12841303018193242,-0.6213536352095164,1.0,-0.555726781573489,0.5667996243475752,0.22118148552260103,0.5045825572722131,0.6304133645553394,0.6802327211912949,0.5098013673697269,0.5580284788962967,0.44827045555553674
technical.bollinger,0.19287299898457932,0.40109217470123165,0.14538480043185772,-0.6363048297916286,0.19638680076363024,-0.13853799454470792,-0.2544768271739581,-0.4909847498645962,0.5082782986025867,0.07896309426015473,0.07646942375285037,0.053616565322311426,0.02781780365156091,-0.035498253042977025,-0.6455403790805889,0.25521746691255603,0.42132730652525496,-0.555726781573489,1.0,-0.8315060928516257,-0.5700052849915076,-0.3538292981389883,-0.6268968007202099,-0.7958925480823307,-0.5205925156722936,-0.38912584689592694,-0.22094948738108552
technical.donchian,-0.1781560780741546,-0.38349026013973697,-0.16856217248706523,0.6503036928828637,-0.22570064360573167,0.1893065522854655,0.28384955651740973,0.5447532192242893,-0.46123445425853205,-0.1132008785447945,-0.0676755252431954,-0.06985844330406743,-0.029213492807400526,0.0024201999147406153,0.6142758321827014,-0.2181005469486186,-0.4548743411834562,0.5667996243475752,-0.8315060928516257,1.0,0.4932537510514109,0.39992082305648996,0.6820966714160429,0.7821280434524235,0.5921890886558655,0.44354508459859243,0.2730615726352094
technical.macd,-0.22850370598989883,-0.2322671213835492,0.019775982076524413,0.38150734803071873,0.141366410170247,-0.25315179291901063,-0.0018448506374966526,0.2026371568722995,-0.5451130009588323,0.20371916010181257,-0.03351064538578083,-0.04328910155913269,-0.0330656077184552,0.09206085367997184,0.6069096866590125,-0.2832441178672383,-0.08053649547085377,0.22118148552260103,-0.5700052849915076,0.4932537510514109,1.0,0.05181490121163871,0.32243193827060956,0.38457079835258345,0.264482672948843,0.012856599342571317,-0.15993699339038914
technical.obv,0.04366062060474916,-0.2568244338023028,-0.2405307286426268,0.42848905251058667,-0.4859395302711357,0.5037791660372684,0.38819117511104334,0.5042475677334757,-0.11150461663134559,-0.3231547525767494,-0.0848092514022225,-0.10324398152851545,-0.053620335200466586,-0.06220666832693599,0.29388480089350166,-0.055480507236276976,-0.591569673794335,0.5045825572722131,-0.3538292981389883,0.39992082305648996,0.05181490121163871,1.0,0.46342365553093723,0.4913613438628431,0.4420856589806482,0.6239026566653332,0.5731807733363361
technical.roc,-0.12078689374647186,-0.3706895974644815,-0.1351944036500232,0.6900465869537009,-0.31535443243515304,0.30026230324877573,0.3999698871730671,0.6384643569117825,-0.3335809283602529,-0.17179782108847966,-0.09808608349255095,-0.058676952520432604,-0.023198297627574454,-0.025283610404868862,0.47160481846278585,-0.11644222307039477,-0.6498386127682055,0.6304133645553394,-0.6268968007202099,0.6820966714160429,0.32243193827060956,0.46342365553093723,1.0,0.7022279961718502,0.6425914400136178,0.5556071428628758,0.3902221992426518
technical.rsi,-0.15017626325526973,-0.42280364754858035,-0.20027478492458406,0.7003716972003036,-0.33759199855646355,0.3301747005907121,0.36066965947190777,0.6257869567209594,-0.38618277464964146,-0.19955863517522887,-0.12125470328017009,-0.0582195614967319,-0.03166328647149474,-0.017393727112827113,0.5758398150543386,-0.2267466316292173,-0.595273314333675,0.6802327211912949,-0.7958925480823307,0.7821280434524235,0.38457079835258345,0.4913613438628431,0.7022279961718502,1.0,0.5671191237867761,0.5681307037073058,0.40770025666740756
technical.structure,-0.07676057974601089,-0.27505815672772715,-0.1266252377758445,0.5336891214472906,-0.32311492904162453,0.3056586724203019,0.3778684407071563,0.4929581868450256,-0.28910871285372675,-0.18708368272027384,-0.09093289311117374,-0.05207472895527944,-0.002866168543717486,-0.007419075659714784,0.40833513227466134,-0.10115380640526289,-0.5179998412504819,0.5098013673697269,-0.5205925156722936,0.5921890886558655,0.264482672948843,0.4420856589806482,0.6425914400136178,0.5671191237867761,1.0,0.47511175860755,0.37761886276852447
technical.trend_ma,0.051852954128366005,-0.2755272899963382,-0.3096770638573201,0.5197365574701922,-0.6462479184223225,0.6714116355581905,0.4965982519741232,0.598825097713101,-0.08147323148846228,-0.4712634920503995,-0.11225299137333114,-0.063489699006532,-0.03137475848835954,-0.05237420910937885,0.30836936992989095,-0.037039385620753304,-0.7392483598087828,0.5580284788962967,-0.38912584689592694,0.44354508459859243,0.012856599342571317,0.6239026566653332,0.5556071428628758,0.5681307037073058,0.47511175860755,1.0,0.7939493127978959
technical.trend_slope,0.10010145505524333,-0.16820585091145251,-0.3373226207287488,0.3305511883577203,-0.6928661021077236,0.8243506185059811,0.4524449793841479,0.4529462343454426,0.07604072702931912,-0.577608539711166,-0.09406571187732349,-0.03578395480037915,-0.0201977492726105,-0.07087588280421923,0.13242082739732008,0.007251414370926174,-0.6257949187002063,0.44827045555553674,-0.22094948738108552,0.2730615726352094,-0.15993699339038914,0.5731807733363361,0.3902221992426518,0.40770025666740756,0.37761886276852447,0.7939493127978959,1.0
